Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,HomeGoals,AwayGoals,Outcome,Home_clean,Away_clean,Squad_home,#Pl_home,Age_home,Poss_home,Playing Time_MP_home,Playing Time_Starts_home,Playing Time_Min_home,Playing Time_90s_home,Performance_Gls_home,Performance_Ast_home,Performance_G+A_home,Performance_G-PK_home,Performance_PK_home,Performance_PKatt_home,Performance_CrdY_home,Performance_CrdR_home,Expected_xG_home,Expected_npxG_home,Expected_xAG_home,Expected_npxG+xAG_home,Progression_PrgC_home,Progression_PrgP_home,Per 90 Minutes_Gls_home,Per 90 Minutes_Ast_home,Per 90 Minutes_G+A_home,Per 90 Minutes_G-PK_home,Per 90 Minutes_G+A-PK_home,Per 90 Minutes_xG_home,Per 90 Minutes_xAG_home,Per 90 Minutes_xG+xAG_home,Per 90 Minutes_npxG_home,Per 90 Minutes_npxG+xAG_home,country_code_home,team_name_home,Squad_away,#Pl_away,Age_away,Poss_away,Playing Time_MP_away,Playing Time_Starts_away,Playing Time_Min_away,Playing Time_90s_away,Performance_Gls_away,Performance_Ast_away,Performance_G+A_away,Performance_G-PK_away,Performance_PK_away,Performance_PKatt_away,Performance_CrdY_away,Performance_CrdR_away,Expected_xG_away,Expected_npxG_away,Expected_xAG_away,Expected_npxG+xAG_away,Progression_PrgC_away,Progression_PrgP_away,Per 90 Minutes_Gls_away,Per 90 Minutes_Ast_away,Per 90 Minutes_G+A_away,Per 90 Minutes_G-PK_away,Per 90 Minutes_G+A-PK_away,Per 90 Minutes_xG_away,Per 90 Minutes_xAG_away,Per 90 Minutes_xG+xAG_away,Per 90 Minutes_npxG_away,Per 90 Minutes_npxG+xAG_away,country_code_away,team_name_away,Squad_home_opp,#Pl_home_opp,Age_home_opp,Poss_home_opp,Playing Time_MP_home_opp,Playing Time_Starts_home_opp,Playing Time_Min_home_opp,Playing Time_90s_home_opp,Performance_Gls_home_opp,Performance_Ast_home_opp,Performance_G+A_home_opp,Performance_G-PK_home_opp,Performance_PK_home_opp,Performance_PKatt_home_opp,Performance_CrdY_home_opp,Performance_CrdR_home_opp,Expected_xG_home_opp,Expected_npxG_home_opp,Expected_xAG_home_opp,Expected_npxG+xAG_home_opp,Progression_PrgC_home_opp,Progression_PrgP_home_opp,Per 90 Minutes_Gls_home_opp,Per 90 Minutes_Ast_home_opp,Per 90 Minutes_G+A_home_opp,Per 90 Minutes_G-PK_home_opp,Per 90 Minutes_G+A-PK_home_opp,Per 90 Minutes_xG_home_opp,Per 90 Minutes_xAG_home_opp,Per 90 Minutes_xG+xAG_home_opp,Per 90 Minutes_npxG_home_opp,Per 90 Minutes_npxG+xAG_home_opp,country_code_home_opp,team_name_home_opp,Squad_away_opp,#Pl_away_opp,Age_away_opp,Poss_away_opp,Playing Time_MP_away_opp,Playing Time_Starts_away_opp,Playing Time_Min_away_opp,Playing Time_90s_away_opp,Performance_Gls_away_opp,Performance_Ast_away_opp,Performance_G+A_away_opp,Performance_G-PK_away_opp,Performance_PK_away_opp,Performance_PKatt_away_opp,Performance_CrdY_away_opp,Performance_CrdR_away_opp,Expected_xG_away_opp,Expected_npxG_away_opp,Expected_xAG_away_opp,Expected_npxG+xAG_away_opp,Progression_PrgC_away_opp,Progression_PrgP_away_opp,Per 90 Minutes_Gls_away_opp,Per 90 Minutes_Ast_away_opp,Per 90 Minutes_G+A_away_opp,Per 90 Minutes_G-PK_away_opp,Per 90 Minutes_G+A-PK_away_opp,Per 90 Minutes_xG_away_opp,Per 90 Minutes_xAG_away_opp,Per 90 Minutes_xG+xAG_away_opp,Per 90 Minutes_npxG_away_opp,Per 90 Minutes_npxG+xAG_away_opp,country_code_away_opp,team_name_away_opp
League phase,Tue,2024-09-17,18:45,Young Boys ch,0.6,0–3,2.0,eng Aston Villa,31500.0,Stadion Wankdorf,Georgi Kabakov,0,3,-1,Young Boys,Aston Villa,ch Young Boys,24,25.6,41.8,8,88,720,8.0,3,3,6,3,0,0,24,0,5.6,5.6,4.1,9.7,111,221,0.37,0.37,0.75,0.37,0.75,0.7,0.51,1.21,0.7,1.21,ch,Young Boys,eng Aston Villa,25,27.8,47.3,12,132,1080,12.0,22,18,40,21,1,2,19,0,18.8,17.2,14.9,32.1,173,397,1.83,1.5,3.33,1.75,3.25,1.57,1.24,2.81,1.44,2.68,eng,Aston Villa,ch vs Young Boys,24,26.9,58.3,8,88,720,8.0,22,21,43,22,0,2,7,1,19.1,17.4,15.5,32.9,162,341,2.75,2.62,5.37,2.75,5.37,2.38,1.93,4.31,2.18,4.11,ch,Young Boys,eng vs Aston Villa,25,26.1,52.8,12,132,1080,12.0,12,8,20,11,1,1,18,1,13.9,13.1,10.5,23.6,215,383,1.0,0.67,1.67,0.92,1.58,1.16,0.87,2.03,1.1,1.97,eng,Aston Villa
League phase,Tue,2024-09-17,18:45,Juventus it,2.9,3–1,1.0,nl PSV Eindhoven,40417.0,Allianz Stadium,Alejandro Hernández,3,1,1,Juventus,PSV Eindhoven,it Juventus,26,25.5,51.1,10,110,930,10.3,12,8,20,11,1,1,15,2,11.8,11.0,8.1,19.1,217,401,1.16,0.77,1.94,1.06,1.84,1.14,0.79,1.93,1.06,1.85,it,Juventus,nl PSV Eindhoven,28,26.6,54.8,12,132,1110,12.3,22,14,36,21,1,1,24,1,19.3,18.5,13.8,32.3,225,571,1.78,1.14,2.92,1.7,2.84,1.56,1.12,2.68,1.5,2.62,nl,PSV Eindhoven,it vs Juventus,26,26.9,48.9,10,110,930,10.3,11,8,19,10,1,2,13,0,17.2,15.7,13.3,29.0,165,411,1.06,0.77,1.84,0.97,1.74,1.66,1.29,2.95,1.52,2.81,it,Juventus,nl vs PSV Eindhoven,28,26.2,45.2,12,132,1110,12.3,24,14,38,23,1,1,24,3,20.6,19.8,13.7,33.4,232,431,1.95,1.14,3.08,1.86,3.0,1.67,1.11,2.78,1.6,2.71,nl,PSV Eindhoven
League phase,Tue,2024-09-17,20:00,Sporting CP pt,1.6,2–0,0.4,fr Lille,40024.0,Estádio José Alvalade,Donatas Rumšas,2,0,1,Sporting CP,Lille,pt Sporting CP,27,24.5,49.1,10,110,900,10.0,13,9,22,11,2,2,17,0,12.8,11.3,9.0,20.3,183,340,1.3,0.9,2.2,1.1,2.0,1.28,0.9,2.18,1.13,2.03,pt,Sporting CP,fr Lille,25,26.1,48.4,10,110,900,10.0,17,12,29,15,2,2,23,2,11.5,10.0,7.1,17.1,164,346,1.7,1.2,2.9,1.5,2.7,1.15,0.71,1.87,1.0,1.71,fr,Lille,pt vs Sporting CP,27,26.0,50.9,10,110,900,10.0,14,9,23,13,1,3,28,1,17.9,15.6,10.8,26.5,175,396,1.4,0.9,2.3,1.3,2.2,1.79,1.08,2.87,1.56,2.65,pt,Sporting CP,fr vs Lille,25,26.8,51.6,10,110,900,10.0,13,8,21,11,2,2,23,0,16.8,15.2,12.9,28.1,171,387,1.3,0.8,2.1,1.1,1.9,1.68,1.29,2.97,1.52,2.81,fr,Lille
League phase,Tue,2024-09-17,21:00,Real Madrid es,2.6,3–1,1.9,de Stuttgart,71288.0,Estadio Santiago Bernabéu,Halil Umut Meler,3,1,1,Real Madrid,Stuttgart,es Real Madrid,23,27.6,53.1,14,154,1290,14.3,29,20,49,28,1,3,34,1,28.0,25.6,20.0,45.6,317,600,2.02,1.4,3.42,1.95,3.35,1.95,1.39,3.35,1.79,3.18,es,Real Madrid,de Stuttgart,23,25.9,58.9,8,88,720,8.0,12,11,23,12,0,1,13,0,14.1,13.3,11.0,24.4,141,396,1.5,1.37,2.87,1.5,2.87,1.76,1.38,3.14,1.67,3.04,de,Stuttgart,es vs Real Madrid,23,26.9,46.9,14,154,1290,14.3,22,14,36,19,3,5,19,0,22.9,19.0,15.1,34.2,309,536,1.53,0.98,2.51,1.33,2.3,1.6,1.06,2.65,1.33,2.38,es,Real Madrid,de vs Stuttgart,23,26.8,41.1,8,88,720,8.0,17,14,31,17,0,0,22,1,11.1,11.1,9.8,20.9,144,249,2.12,1.75,3.87,2.12,3.87,1.39,1.22,2.61,1.39,2.61,de,Stuttgart
League phase,Tue,2024-09-17,21:00,Milan it,0.6,1–3,3.1,eng Liverpool,59826.0,Stadio Giuseppe Meazza,Espen Eskås,1,3,-1,Milan,Liverpool,it Milan,26,26.8,53.0,10,110,900,10.0,15,11,26,15,0,0,28,2,13.8,13.8,10.8,24.6,244,472,1.5,1.1,2.6,1.5,2.6,1.38,1.08,2.46,1.38,2.46,it,Milan,eng Liverpool,27,27.5,51.0,10,110,930,10.3,18,13,31,16,2,3,19,1,20.7,18.3,14.8,33.1,197,469,1.74,1.26,3.0,1.55,2.81,2.0,1.43,3.43,1.77,3.2,eng,Liverpool,it vs Milan,26,27.1,47.0,10,110,900,10.0,13,9,22,12,1,1,25,3,13.8,13.0,10.2,23.2,152,357,1.3,0.9,2.2,1.2,2.1,1.38,1.02,2.4,1.3,2.32,it,Milan,eng vs Liverpool,27,26.5,49.0,10,110,930,10.3,6,3,9,6,0,1,22,1,11.3,10.5,7.4,17.9,235,346,0.58,0.29,0.87,0.58,0.87,1.1,0.71,1.81,1.02,1.73,eng,Liverpool
League phase,Tue,2024-09-17,21:00,Bayern Munich de,5.9,9–2,0.7,hr Dinamo Zagreb,75000.0,Allianz Arena,Juan Martínez,9,2,1,Bayern Munich,Dinamo Zagreb,de Bayern Munich,27,28.4,64.7,14,154,1260,14.0,31,16,47,26,5,5,22,0,33.6,30.0,21.6,51.6,376,892,2.21,1.14,3.36,1.86,3.0,2.4,1.54,3.94,2.14,3.69,de,Bayern Munich,hr Dinamo Zagreb,25,28.0,37.9,8,88,720,8.0,12,10,22,12,0,0,19,0,7.0,7.0,5.2,12.2,120,186,1.5,1.25,2.75,1.5,2.75,0.88,0.65,1.53,0.88,1.53,hr,Dinamo Zagreb,de vs Bayern Munich,27,27.5,35.3,14,154,1260,14.0,18,15,33,17,1,1,31,2,14.4,13.6,11.1,24.7,154,253,1.29,1.07,2.36,1.21,2.29,1.03,0.79,1.82,0.97,1.77,de,Bayern Munich,hr vs Dinamo Zagreb,25,26.9,62.1,8,88,720,8.0,19,11,30,15,4,4,17,2,16.4,13.7,8.6,22.3,198,468,2.37,1.37,3.75,1.87,3.25,2.05,1.07,3.12,1.72,2.79,hr,Dinamo Zagreb
League phase,Wed,2024-09-18,18:45,Sparta Prague cz,2.5,3–0,0.6,at RB Salzburg,17612.0,epet Arena,Rade Obrenović,3,0,1,Sparta Prague,RB Salzburg,cz Sparta Prague,26,26.9,33.9,8,88,720,8.0,6,3,9,6,0,0,13,0,6.3,6.3,4.3,10.6,81,184,0.75,0.37,1.13,0.75,1.13,0.78,0.54,1.33,0.78,1.33,cz,Sparta Prague,at RB Salzburg,24,23.3,45.1,8,88,720,8.0,5,5,10,5,0,1,16,1,6.6,5.9,4.3,10.2,176,283,0.62,0.62,1.25,0.62,1.25,0.83,0.54,1.37,0.73,1.27,at,RB Salzburg,cz vs Sparta Prague,26,27.2,66.1,8,88,720,8.0,20,14,34,19,1,1,11,0,13.3,12.5,9.9,22.4,227,440,2.5,1.75,4.25,2.37,4.12,1.66,1.24,2.9,1.57,2.8,cz,Sparta Prague,at vs RB Salzburg,24,27.5,54.9,8,88,720,8.0,27,19,46,26,1,1,7,1,19.4,18.8,14.7,33.5,157,377,3.38,2.37,5.75,3.25,5.63,2.42,1.83,4.26,2.35,4.18,at,RB Salzburg
League phase,Wed,2024-09-18,18:45,Bologna it,1.2,0–0,0.9,ua Shakhtar,23130.0,Stadio Renato Dall'Ara,Rohit Saggi,0,0,0,Bologna,Shakhtar,it Bologna,24,26.7,49.3,8,88,720,8.0,4,3,7,4,0,0,28,0,8.1,8.1,5.8,13.9,131,269,0.5,0.37,0.87,0.5,0.87,1.01,0.73,1.74,1.01,1.74,it,Bologna,ua Shakhtar,21,24.9,44.9,8,88,720,8.0,8,5,13,7,1,2,13,1,8.3,6.7,5.2,12.0,103,195,1.0,0.62,1.62,0.87,1.5,1.04,0.66,1.69,0.84,1.49,ua,Shakhtar,it vs Bologna,24,25.8,50.8,8,88,720,8.0,9,6,15,8,1,2,28,0,9.9,8.3,6.4,14.7,120,219,1.13,0.75,1.87,1.0,1.75,1.23,0.8,2.04,1.04,1.84,it,Bologna,ua vs Shakhtar,21,27.1,55.1,8,88,720,8.0,15,9,24,14,1,2,16,0,15.5,13.9,10.8,24.7,192,392,1.87,1.13,3.0,1.75,2.87,1.94,1.35,3.28,1.74,3.09,ua,Shakhtar
League phase,Wed,2024-09-18,20:00,Celtic sct,3.8,5–1,0.5,sk Slovan Bratislava,56826.0,Celtic Park,Danny Makkelie,5,1,1,Celtic,Slovan Bratislava,sct Celtic,24,27.8,50.9,10,110,900,10.0,14,10,24,13,1,2,10,1,14.5,13.0,10.1,23.1,147,337,1.4,1.0,2.4,1.3,2.3,1.45,1.01,2.46,1.3,2.31,sct,Celtic,sk Slovan Bratislava,23,29.2,37.5,8,88,720,8.0,7,5,12,6,1,1,17,1,7.0,6.2,4.6,10.8,95,197,0.87,0.62,1.5,0.75,1.37,0.87,0.58,1.44,0.77,1.35,sk,Slovan Bratislava,sct vs Celtic,24,27.8,49.1,10,110,900,10.0,16,8,24,14,2,3,15,0,16.3,14.0,11.2,25.2,194,406,1.6,0.8,2.4,1.4,2.2,1.63,1.12,2.75,1.4,2.52,sct,Celtic,sk vs Slovan Bratislava,23,27.6,62.5,8,88,720,8.0,27,19,46,26,1,2,11,0,21.6,20.0,15.7,35.7,253,572,3.38,2.37,5.75,3.25,5.63,2.7,1.96,4.66,2.5,4.46,sk,Slovan Bratislava
League phase,Wed,2024-09-18,20:00,Manchester City eng,2.3,0–0,0.7,it Inter,50922.0,Etihad Stadium,Glenn Nyberg,0,0,0,Manchester City,Inter,eng Manchester City,26,27.4,63.4,10,110,900,10.0,20,11,31,17,3,4,11,0,21.0,18.0,13.5,31.5,315,608,2.0,1.1,3.1,1.7,2.8,2.1,1.35,3.45,1.8,3.15,eng,Manchester City,it Inter,25,30.2,50.3,12,132,1080,12.0,18,11,29,14,4,6,24,0,20.7,16.0,13.0,29.0,194,418,1.5,0.92,2.42,1.17,2.08,1.73,1.08,2.81,1.33,2.42,it,Inter,eng vs Manchester City,26,26.8,36.6,10,110,900,10.0,20,12,32,18,2,2,8,0,16.1,14.6,10.8,25.5,143,211,2.0,1.2,3.2,1.8,3.0,1.61,1.08,2.69,1.46,2.55,eng,Manchester City,it vs Inter,25,26.8,49.7,12,132,1080,12.0,5,4,9,4,1,1,21,1,12.9,12.1,9.4,21.5,228,525,0.42,0.33,0.75,0.33,0.67,1.08,0.78,1.86,1.01,1.79,it,Inter
